_id,_rev,alejado,app_foreground,battery_l,battery_t,bw,devid,df_delay,df_saltos,ds,dv_delay,dv_saltos,indice_en_prueba,indice_intervalo,mood,mos,ns,prueba_nro,ram,sdk,st,t_cpu,ts_from,ts_to
31c54b0060fa1a0c1f7ccff361727b2e,1-01da2e47d5fee33c2329195d04e88f20,112684,com.sec.android.app.launcher,28.0,31.666666666666668,3.534421892968451e-05,7caeb732fb3ad6af,85.66666666666667,1.0,5,69.0,17.0,2,19,,5,4.0,3,383.6666666666667,23,,45.43333333333333,1529721290177,1529721350177
31c54b0060fa1a0c1f7ccff36172e4c7,1-bacf09b420e25dc4e8e167915d664e9c,345034,com.android.phone,38.333333333333336,41.166666666666664,1.834470225496242e-05,344404a75543aaf0,122.25,1.0,,86.75,17.0,6,5,4.0,5,3.4,2,773.3333333333334,,,62.0,1527691268760,1527691328760
31c54b0060fa1a0c1f7ccff361763408,1-c2595a55afdca1300309cdf2c44e3e67,165089,com.android.chrome,65.0,30.45,0,0264ea70c8976793,12.0,1.0,9,12.0,10.0,1,35,,5,4.0,2,3846.0,27,3.0,30.45,1525301335420,1525301395420
31c54b0060fa1a0c1f7ccff361767873,1-d884a8413471eaf9feeabbd8e31b5027,624295,,,,0,3c66f51dbc94d163,,,9,,,6,5,4.0,2,,1,,26,,,1526659674146,1526659734146
31c54b0060fa1a0c1f7ccff361767e2f,1-c4ae79ead82a53e35ef90246b6024a82,414589,,,,0,dcceb1b848daf324,,,4,,,1,0,2.5,3,,1,,23,,,1525359490465,1525359550465
31c54b0060fa1a0c1f7ccff36176b7d7,1-73ddfb676a5124874f62bd42b85b7c38,450898,com.google.android.youtube,,,1.0457665705571574e-06,6f2a6c95c065c7a3,75.66666666666667,2.0,3,47.0,8.0,7,6,5.0,1,4.0,1,666.6666666666666,24,4.0,45.333333333333336,1527618095578,1527618155578
31c54b0060fa1a0c1f7ccff36177648f,1-3cdb64eb2f69df838634dbd18a4012f4,12237,,,,4.5767237212713125e-07,f25d48f8931ef23f,,,6,,,2,17,,2,4.0,2,,24,,,1526598163760,1526598223760
31c54b0060fa1a0c1f7ccff3617821a6,1-b9bdbc8f66f727f8d10dbff350e8766b,263155,py.com.itau.tokpag,49.0,37.13333333333333,2.0133264445592575e-07,c43e0a23ab297d87,132.5,2.0,8,1295.5,9.5,4,17,,3,4.0,3,713.6666666666666,26,3.0,0.4136666666666667,1528334360535,1528334420535
31c54b0060fa1a0c1f7ccff3617936e8,1-8293b2533f0d65763ece96467e3cff68,515959,com.facebook.lite,77.0,33.7,0,bd016d8f3093b6a4,119.66666666666667,2.0,7,53.666666666666664,9.0,9,8,,5,4.0,1,762.5,23,,62.0,1528254727869,1528254787869
31c54b0060fa1a0c1f7ccff361794963,1-bbf816fc2ea0ddcf3b4eab399a1645d7,33733,com.google.android.youtube,69.0,28.7,0,867287031950897,75.0,2.0,9,41.0,9.0,1,0,,3,,3,3073.0,27,,28.7,1522811177167,1522811237167
31c54b0060fa1a0c1f7ccff3617a4ce5,1-6f27fd1584767c757c0b2885675808c9,555519,,,,0,a32d3af596578938,,,8,,,2,18,,5,,3,,26,,,1530149411558,1530149471558
31c54b0060fa1a0c1f7ccff3617ad22b,1-62c171b988ea34ae4d4f3230b28423c8,286035,,25.333333333333332,29.23333333333333,0.00010021108181530309,81410329db99223d,99.0,2.0,5,62.0,17.0,5,10,3.0,5,4.0,1,426.3333333333333,23,,44.93333333333334,1529239143048,1529239203048
31c54b0060fa1a0c1f7ccff3617afb6e,1-eb5c5b4798c2d374adeb458f86f03562,63950,,,,0,2f41118c2aee66ae,,,4,,,2,2,,5,,2,,23,,,1527618847308,1527618907308
31c54b0060fa1a0c1f7ccff3617b0383,1-26859b0b151f771f655a09b28beb045a,124186,,,,0.0006460094331761138,a208a7c4a26d8df7,91.5,2.0,8,32.5,9.0,1,0,,2,4.0,1,990.0,24,,36.9325,1528256379545,1528256439545
31c54b0060fa1a0c1f7ccff3617b34d7,1-20a94c519358b36bc24aa52b687c93ce,11381,,,,4.416966383893602e-07,d71847dfd6b46fcd,,,9,,,6,5,,2,,1,,27,,,1525134099112,1525134159112
